part_number,current_draw_mA,S11_dB,S21_dB,S12_dB,S22_dB,timestamp
LNA00206P1,81.0,-12.558,34.488,-49.328,-12.046,2026-07-14T10:46:49
LNA00208P1,85.0,-14.084,34.606,-46.08,-11.102,2026-07-14T10:47:45
LNA00207P1,87.0,-13.806,34.854,-46.477,-11.586,2026-07-14T10:48:29
LNA00203P1,83.0,-13.445,34.409,-43.593,-9.773,2026-07-14T10:49:48
LNA00204P1,82.0,-13.359,34.709,-49.055,-11.971,2026-07-14T10:51:56
LNA00205P1,85.0,-14.198,34.811,-47.984,-10.983,2026-07-14T10:52:45
LNA00208P2,85.0,-13.811,34.661,-46.661,-10.46,2026-07-14T10:57:52
LNA00204P2,82.0,-13.508,34.522,-46.964,-11.543,2026-07-14T10:58:36
LNA00203P2,81.0,-13.605,34.782,-45.675,-11.76,2026-07-14T10:59:40
LNA00205P2,85.0,-13.339,34.517,-51.471,-11.292,2026-07-14T11:00:26
LNA00207P2,85.0,-14.552,34.908,-55.564,-12.152,2026-07-14T11:01:12
LNA00206P2,82.0,-12.462,34.501,-43.586,-11.525,2026-07-14T11:01:56
LNA00209P2,82.0,-13.194,34.484,-47.283,-11.622,2026-07-14T11:10:18
LNA00210P2,86.0,-13.82,34.701,-50.402,-11.687,2026-07-14T11:11:00
LNA00213P2,84.0,-13.944,34.829,-51.515,-11.079,2026-07-14T11:11:50
LNA00211P2,80.0,-12.829,34.434,-45.711,-11.692,2026-07-14T11:12:56
LNA00215P2,84.0,-13.478,34.797,-59.524,-11.629,2026-07-14T11:13:49
LNA00220P2,81.0,-13.382,34.346,-44.34,-10.78,2026-07-14T11:14:33
LNA00219P2,83.0,-13.851,34.823,-48.213,-11.658,2026-07-14T11:15:18
LNA00218P2,85.0,-14.468,34.663,-45.093,-10.587,2026-07-14T11:16:02
LNA00216P2,85.0,-14.172,34.758,-41.566,-11.422,2026-07-14T11:16:51
LNA00217P2,86.0,-13.552,34.772,-50.478,-12.502,2026-07-14T11:17:53
LNA00214P2,83.0,-13.104,34.67,-53.449,-11.668,2026-07-14T11:18:43
LNA00212P2,86.0,-14.917,34.752,-61.577,-11.335,2026-07-14T11:19:35
LNA00211P1,85.0,-13.512,34.697,-42.968,-10.578,2026-07-14T11:21:22
LNA00216P1,85.0,-13.619,34.712,-46.151,-11.231,2026-07-14T11:22:20
LNA00215P1,87.0,-14.105,34.823,-46.287,-11.092,2026-07-14T11:23:30
LNA00210P1,84.0,-13.321,34.608,-47.869,-12.133,2026-07-14T11:28:37
LNA00219P1,82.0,-13.729,34.674,-48.613,-11.26,2026-07-14T11:29:24
LNA00217P1,84.0,-13.305,34.716,-50.996,-11.388,2026-07-14T11:30:24
LNA00220P1,88.0,-14.366,34.95,-45.655,-11.721,2026-07-14T11:31:20
LNA00213P1,84.0,-13.941,34.607,-49.318,-11.708,2026-07-14T11:32:05
LNA00212P1,85.0,-13.656,34.742,-41.741,-10.342,2026-07-14T11:32:53
LNA00218P1,82.0,-13.739,34.876,-49.491,-12.293,2026-07-14T11:34:16
LNA00214P1,81.0,-14.095,34.879,-45.902,-11.555,2026-07-14T11:35:00
LNA00209P1,85.0,-13.994,34.764,-45.882,-12.031,2026-07-14T11:35:45
LNA00226P2,82.0,-13.045,34.539,-43.911,-11.368,2026-07-14T11:39:15
LNA00224P2,86.0,-13.722,34.799,-50.627,-10.994,2026-07-14T11:40:03
